Skip to main content
WATCARD
Dashboard
Transactions
Profile Picture
Transactions
Transaction History
Current Statement
Last Statement
Type
Balances
Status
Approved
From
09/01/2024
 
To
12/31/2024
 
 
Transactions
Show 
100
 entries
Showing 1 to 100 of 187 entries
Search:
Date - Time	Type	Terminal	Status	Balance	Units	Amount
2024-11-16 22:15:38	104 : FINANCIAL VEND	00033 : POS-FS-V1 MUDIES-36	Approved	3	0	$-8.90
2024-11-16 15:46:41	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-17.06
2024-11-15 15:52:43	104 : FINANCIAL VEND	01225 : POS-FS-SLC JUGO JUICE-13	Approved	3	0	$-6.39
2024-11-15 15:11:29	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-6.74
2024-11-15 14:58:09	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-5.47
2024-11-13 17:51:18	104 : FINANCIAL VEND	00028 : POS-FS-DC DCBYTES-26	Approved	3	0	$-22.20
2024-11-12 14:34:32	104 : FINANCIAL VEND	02323 : POS-FS-DC TH-2	Approved	3	0	$-4.60
2024-11-12 12:29:30	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-5.47
2024-11-11 18:42:16	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-24.44
2024-11-11 13:35:23	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-6.74
2024-11-11 13:28:25	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-5.47
2024-11-10 21:22:07	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-11.80
2024-11-10 11:50:56	004 : VEND (MONEY)	02293 : OTC-IP-WILLIAMS FRESH CAFE	Approved	9	0	$-19.72
2024-11-09 10:59:18	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-20.12
2024-11-07 23:51:52	004 : VEND (MONEY)	01448 : VM-V1-SNACK 2	Approved	9	0	$-3.00
2024-11-07 23:50:43	004 : VEND (MONEY)	01448 : VM-V1-SNACK 2	Approved	9	0	$-3.00
2024-11-07 18:11:32	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-19.35
2024-11-07 15:32:24	004 : VEND (MONEY)	01349 : OTC-IP-SJU FUNCKEN CAFE	Approved	9	0	$-9.63
2024-11-06 20:25:29	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-16.48
2024-11-06 10:16:36	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-15.28
2024-11-05 20:47:49	004 : VEND (MONEY)	01022 : LN-HS-REV LAUNDRY 2	Approved	9	0	$-2.00
2024-11-05 19:40:09	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-7.07
2024-11-05 19:36:03	004 : VEND (MONEY)	01022 : LN-HS-REV LAUNDRY 2	Approved	9	0	$-2.00
2024-11-04 21:00:13	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-14.37
2024-11-04 13:40:08	104 : FINANCIAL VEND	00026 : POS-FS-DC TH-1	Approved	3	0	$-6.32
2024-11-03 20:01:30	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-22.02
2024-10-31 14:32:01	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-12.21
2024-10-29 13:16:06	104 : FINANCIAL VEND	00026 : POS-FS-DC TH-1	Approved	3	0	$-9.36
2024-10-28 16:54:53	104 : FINANCIAL VEND	02428 : POS-FS-SLC PITA-SHAWARMA-10	Approved	3	0	$-16.09
2024-10-28 13:27:18	004 : VEND (MONEY)	01349 : OTC-IP-SJU FUNCKEN CAFE	Approved	9	0	$-6.21
2024-10-27 21:01:56	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-16.61
2024-10-25 16:00:01	104 : FINANCIAL VEND	01225 : POS-FS-SLC JUGO JUICE-13	Approved	3	0	$-6.39
2024-10-25 12:33:44	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-12.21
2024-10-24 18:43:35	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	3	0	$-19.81
2024-10-23 15:52:29	104 : FINANCIAL VEND	00052 : POS-FS-DP BROWSERS-53	Approved	3	0	$-10.29
2024-10-23 11:47:32	104 : FINANCIAL VEND	01225 : POS-FS-SLC JUGO JUICE-13	Approved	3	0	$-11.22
2024-10-22 16:41:33	104 : FINANCIAL VEND	02428 : POS-FS-SLC PITA-SHAWARMA-10	Approved	3	0	$-19.72
2024-10-21 13:32:06	104 : FINANCIAL VEND	01629 : POS-FS-SLC BRUBAKERS-9	Approved	3	0	$-5.47
2024-10-21 09:05:15	136 : ACCOUNT BALANCE MOVE	00024 : WEBAPPS	Approved	6	0	$-1,915.00
